0,1
CD14,VLDLR
CD14,F3
CD14,CALCR
CD14,LRP8
CD14,ABCA1
CD14,SDC3
CD14,ITGAX
CD14,CD81
CD14,IL6R
CD14,SSTR2
CD14,TLR7
CD14,GPIHBP1
CD14,LEPR
CD14,MUSK
CD14,CD40
CD14,NTRK1
CD14,CD79A
CD14,PDGFRA
CD14,GPC1
CD14,ITGA9
CD14,FCRL4
CD14,IL17RC
CD14,ASGR2
COL3A1,ITGA1
COL3A1,CD93
COL3A1,ITGA11
COL3A1,TMPRSS6
COL3A1,CD47
COL3A1,COL17A1
COL3A1,ITGA10
CXCL10,FCRL4
FGB,ITGB5
FGB,CD44
FGB,LRP2
FGB,ITGB8
FGB,CD36
FGB,SDC1
FGB,LDLR
FGB,VLDLR
FGB,SDC3
FGB,FCRL4
FGA,ITGB5
FGA,CD44
FGA,LRP2
FGA,SDC1
FGA,LDLR
FGA,VLDLR
FGA,SDC3
FGA,FCRL4
CXCL8,FCRL4
CXCL11,IFNAR2
CXCL11,IFNAR1
PRND,LRP2
HAS2,FCRL4
F2,FCRL4
CCL19,IFNAR2
CCL19,IFNAR1
PLG,ITGB5
PLG,CD44
PLG,LRP2
PLG,LRP1
PLG,SDC1
PLG,LDLR
PLG,VLDLR
PLG,SDC3
PLG,FCRL4
ADAM17,LRP2
ADAM17,LRP1
ADAM17,LDLR
ADAM17,FCRL4
FGF5,FCRL4
LEP,ITGB1
LEP,ITGAM
LEP,FCRL4
GNAI2,TLR2
GNAI2,IFNAR2
GNAI2,IFNAR1
GNAI2,CD81
GNAI2,AR
GNAI2,AGTR1
GNAI2,TFR2
GNAI2,HFE
GNAI2,FCRL4
GNAI2,GPC2
TLN1,ITGB1
AGTRAP,IFNAR2
AGTRAP,IFNAR1
CALR,ITGB2
CALR,ITGB5
CALR,CD44
CALR,LRP2
CALR,ITGB1
CALR,ITGB3
CALR,LDLR
CALR,VLDLR
CALR,ABCA1
CALR,SDC3
CALR,SORL1
CALR,FCRL4
DEFB103A,IFNAR2
DEFB103A,IFNAR1
TAC1,IFNAR2
TAC1,IFNAR1
LPA,ITGB1
LPA,SDC1
LPA,VLDLR
LPA,MUC6
LPA,FCRL4
FGF8,FCRL4
FGF13,ITGB1
FGF13,FCRL4
MMP1,ITGB2
MMP1,ITGB5
MMP1,ITGB1
MMP1,ITGAM
MMP1,ITGB3
MMP1,ITGAV
MMP1,ITGB8
MMP1,SDC1
MMP1,ITGA1
MMP1,ITGA5
MMP1,CD93
MMP1,FLT4
MMP1,TMPRSS6
MMP1,ABCA1
MMP1,MAG
MMP1,FCRL4
LAMA3,ITGB2
LAMA3,ITGAM
LAMA3,ITGAV
LAMA3,ITGB8
LAMA3,SDC1
LAMA3,ITGA6
LAMA3,ITGA1
LAMA3,ITGA2
LAMA3,TMPRSS6
LAMA3,ABCA1
LAMA3,MAG
FBN1,ITGB2
FBN1,ITGB5
FBN1,CD44
FBN1,ITGB8
FBN1,CD36
FBN1,FLT4
FBN1,FCRL4
PSEN1,LRP2
PSEN1,ITGB1
PSEN1,LRP1
PSEN1,LDLR
PSEN1,VLDLR
PSEN1,SORL1
PSEN1,FCRL4
BGN,ITGB1
BGN,SELP
BGN,CALCR
P4HB,LRP2
P4HB,ITGB1
P4HB,VLDLR
P4HB,OLR1
P4HB,LSR
P4HB,TLR6
P4HB,LRP8
P4HB,RYR2
P4HB,TRPM3
JAG2,LRP2
JAG2,LRP1
FBLN1,FCRL4
CALCA,IFNAR2
CALCA,IFNAR1
CALCA,FCRL4
COL4A5,DDR2
COL4A5,ITGA11
COL4A5,DDR1
COL4A5,COL17A1
COL4A5,MAG
COL4A5,ITGA10
COL7A1,DDR2
COL7A1,ITGA11
COL7A1,TMPRSS6
COL7A1,DDR1
BTLA,IFNAR1
